City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
368,368,Jalu,29.0331,21.5482,83.05,49,0,13.13,LY,clear sky
369,369,Sabang,5.8933,95.3214,81.9,76,70,16.35,ID,broken clouds
377,377,Chumikan,54.7183,135.315,76.3,52,43,10.76,RU,scattered clouds
379,379,Jati,24.3539,68.2671,83.73,66,90,17.54,PK,overcast clouds
382,382,Arlit,18.7369,7.3853,82.08,56,43,9.46,NE,scattered clouds
383,383,Praia,14.9215,-23.5087,75.74,78,20,11.5,CV,few clouds
384,384,Metro,-5.1131,105.3067,85.41,57,48,4.97,ID,scattered clouds
386,386,Matay,28.419,30.7792,82.29,42,0,7.52,EG,clear sky
387,387,Bardiyah,31.7561,25.0865,79.52,72,0,5.03,LY,clear sky
393,393,Floriano,-6.7669,-43.0225,81.32,34,62,8.79,BR,broken clouds
395,395,Vanimo,-2.6741,141.3028,85.15,67,100,7.4,PG,overcast clouds
402,402,Mbuji-Mayi,-6.15,23.6,78.22,52,99,4.41,CD,overcast clouds
403,403,Guerrero Negro,27.9769,-114.0611,79.09,76,7,13.04,MX,clear sky
406,406,Seka,17.9285,103.9552,79.05,88,100,5.86,TH,moderate rain
407,407,Zharkent,44.1628,80.0,77.54,39,5,5.88,KZ,clear sky
410,410,Chandbali,20.7833,86.7667,88.0,68,100,3.22,IN,overcast clouds
411,411,Springville,40.1652,-111.6107,87.66,30,1,8.05,US,clear sky
412,412,Sungairaya,0.7,108.9,78.82,87,95,2.93,ID,overcast clouds
414,414,Mecca,21.4267,39.8261,87.64,26,56,3.18,SA,broken clouds
417,417,Dwarka,22.2394,68.9678,80.92,80,100,17.54,IN,overcast clouds
419,419,Iralaya,15.0,-83.2333,79.61,83,96,6.31,HN,overcast clouds
423,423,Yumen,40.2833,97.2,84.52,18,0,11.59,CN,clear sky
426,426,Brewster,41.3973,-73.6171,81.19,82,1,0.0,US,clear sky
427,427,Aksu,41.1231,80.2644,81.93,31,16,6.04,CN,few clouds
429,429,Suluq,31.6682,20.2521,80.94,53,0,7.94,LY,clear sky
430,430,Salina,38.8403,-97.6114,86.13,79,75,5.99,US,light rain
432,432,Pangkalanbuun,-2.6833,111.6167,81.82,82,66,4.34,ID,light rain
434,434,Itaituba,-4.2761,-55.9836,77.27,57,58,0.63,BR,broken clouds
437,437,Kununurra,-15.7667,128.7333,87.78,22,1,11.5,AU,clear sky
438,438,Mareeba,-17.0,145.4333,79.45,58,55,8.55,AU,broken clouds
439,439,Williams Lake,52.1415,-122.1445,85.57,26,1,5.75,CA,clear sky
440,440,Lianzhou,24.7811,112.3825,88.21,71,92,4.07,CN,overcast clouds
448,448,Rajapur,25.3833,81.15,86.02,70,100,6.17,IN,light rain
451,451,Sisophon,13.5859,102.9737,88.5,59,100,10.67,KH,overcast clouds
458,458,Kalaleh,37.3807,55.4916,78.4,73,0,0.0,IR,clear sky
461,461,Baculin,7.4525,126.5842,85.12,68,63,5.14,PH,broken clouds
463,463,Dawlatabad,36.4141,64.9053,85.91,19,0,7.52,AF,clear sky
464,464,Sibolga,1.7427,98.7792,84.79,66,93,2.39,ID,overcast clouds
469,469,Kalat,29.0225,66.5916,75.87,11,56,2.95,PK,broken clouds
474,474,Komsomolskiy,40.4272,71.7189,81.32,28,77,6.91,UZ,broken clouds
483,483,Jaen,38.0,-3.5,85.42,33,5,4.27,ES,clear sky
485,485,San Patricio,28.017,-97.5169,86.09,69,40,11.18,US,scattered clouds
487,487,Acapulco,16.8634,-99.8901,79.84,81,88,5.03,MX,overcast clouds
488,488,Hamilton,39.1834,-84.5333,82.04,78,90,1.01,US,overcast clouds
490,490,Kombissiri,12.0656,-1.3375,76.98,92,100,6.33,BF,overcast clouds
493,493,Ojinaga,29.5667,-104.4167,81.57,50,75,3.44,MX,broken clouds
496,496,Mingshui,36.7167,117.5,78.42,74,100,6.69,CN,overcast clouds
497,497,Palimbang,6.2106,124.1894,86.07,68,92,6.08,PH,overcast clouds
498,498,Port-Gentil,-0.7193,8.7815,76.73,78,46,9.15,GA,scattered clouds
500,500,Zlitan,32.4674,14.5687,79.36,85,0,3.13,LY,clear sky
502,502,Daru,-9.0763,143.2092,79.07,88,88,14.34,PG,overcast clouds
503,503,Biak,-0.9131,122.8766,82.8,68,58,5.93,ID,broken clouds
514,514,Kendari,-3.945,122.4989,80.51,85,88,4.61,ID,overcast clouds
518,518,Alyangula,-13.8483,136.4192,84.07,51,0,12.66,AU,clear sky
520,520,Balabac,7.9868,117.0645,85.71,69,100,9.75,PH,overcast clouds
521,521,Meulaboh,4.1363,96.1285,80.42,80,99,8.39,ID,overcast clouds
522,522,San Andres,12.5847,-81.7006,82.42,83,75,8.05,CO,broken clouds
525,525,Nishihara,26.1842,127.7558,85.66,84,75,14.97,JP,broken clouds
526,526,Bani Walid,31.7566,13.9942,77.09,67,0,4.94,LY,clear sky
527,527,Dingle,10.9995,122.6711,88.27,62,43,6.58,PH,light rain
528,528,Taybad,34.74,60.7756,81.46,18,0,16.93,IR,clear sky
530,530,Makakilo City,21.3469,-158.0858,83.95,64,75,13.8,US,broken clouds
532,532,Veraval,20.9,70.3667,81.23,81,100,15.17,IN,overcast clouds
535,535,Kilindoni,-7.9139,39.6668,75.52,74,2,10.45,TZ,clear sky
538,538,Khandyga,62.6667,135.6,79.25,45,43,4.85,RU,scattered clouds
539,539,Shimanovsk,52.0,127.7,75.97,46,76,3.94,RU,broken clouds
542,542,Fonte Boa,-2.4959,-66.2662,75.27,82,48,3.49,BR,scattered clouds
543,543,Roma,43.2128,-75.4557,76.86,90,1,3.44,US,clear sky
544,544,Bandarbeyla,9.4942,50.8122,75.18,84,78,21.41,SO,broken clouds
546,546,Scottsboro,34.6723,-86.0341,79.16,100,40,0.0,US,scattered clouds
547,547,Bay Saint Louis,30.3088,-89.33,81.01,93,80,5.39,US,broken clouds
552,552,Pochutla,15.7432,-96.4661,79.83,92,97,2.86,MX,overcast clouds
553,553,Alexandria,31.2156,29.9553,80.56,89,20,5.75,EG,few clouds
554,554,Estepona,36.4276,-5.1459,82.58,62,81,3.91,ES,light rain
556,556,Tenosique,17.4833,-91.4333,77.54,75,40,2.17,MX,scattered clouds
559,559,Labuhan,-6.8844,112.2051,86.52,59,90,3.89,ID,overcast clouds
562,562,Port Hedland,-20.3167,118.5667,82.45,15,0,12.66,AU,clear sky
565,565,Eyl,7.9803,49.8164,75.29,81,70,15.9,SO,broken clouds
567,567,Berdigestyakh,62.0989,126.6992,79.59,37,40,2.62,RU,scattered clouds
569,569,Kirensk,57.7853,108.1119,82.38,37,0,3.24,RU,clear sky
573,573,Paungde,18.4833,95.5,85.44,75,100,9.86,MM,overcast clouds
