,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Luganville,VU,76.95,broken clouds,-15.5333,167.1667,The Espiritu Hotel
209,Lebanon,US,82.27,broken clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
210,Sabha,LY,85.55,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
214,Turkmenabat,TM,76.98,clear sky,39.0733,63.5786,Hotel Yupek Yoly
215,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
219,Half Moon Bay,US,78.75,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
224,Port Hardy,CA,77.18,few clouds,50.6996,-127.4199,Airport Inn
228,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
230,Katsuura,JP,77.02,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
234,Naze,JP,83.32,overcast clouds,28.3667,129.4833,Amami Port Tower Hotel
235,Dongsheng,CN,77.54,clear sky,39.8161,109.9776,Crowne Plaza Ordos
236,Shwebo,MM,82.4,overcast clouds,22.5667,95.7,MOON SHINE Guest House
238,Bud,US,75.22,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
239,Shenjiamen,CN,78.58,moderate rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
244,Iowa City,US,75.51,scattered clouds,41.6611,-91.5302,Hampton Inn Iowa City/University Area
246,Lorengau,PG,82.04,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
251,Balingasay,PH,82.26,overcast clouds,16.3573,119.8564,Rock Garden Resort
254,Jinchang,CN,78.98,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
255,Lompoc,US,76.78,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
264,Along,IN,75.52,overcast clouds,28.1667,94.7667,Hotel West
270,Pizarro,CO,76.48,light rain,4.9533,-77.366,Hotel Limonar
272,Batticaloa,LK,82.02,very heavy rain,7.7102,81.6924,Grand Star Guest House
273,Sinnamary,GF,78.73,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
276,Tanete,ID,87.48,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
278,Ukiah,US,75.85,scattered clouds,39.1502,-123.2078,Hampton Inn Ukiah
285,Akyab,MM,82.24,overcast clouds,20.15,92.9,Hotel Memory
287,Goderich,CA,75.52,clear sky,43.7501,-81.7165,Harmony Inn
293,Hobyo,SO,76.05,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
