City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
285,Sayyan,YE,2021-08-12 04:43:03,15.1718,44.3244,68.59,37,38,2.33
286,Manaure,CO,2021-08-12 04:43:04,11.7751,-72.4445,82.62,77,70,4.9
287,Mbandaka,CD,2021-08-12 04:43:04,0.0487,18.2603,68.97,91,26,2.91
288,Majene,ID,2021-08-12 04:43:05,-3.5403,118.9707,84.99,69,73,1.9
289,Inhambane,MZ,2021-08-12 04:43:06,-23.865,35.3833,64.38,94,0,6.91
290,Lodja,CD,2021-08-12 04:43:06,-3.4833,23.4333,69.03,85,78,1.43
291,Les Escoumins,CA,2021-08-12 04:43:07,48.1111,-69.0236,68.56,98,67,4.18
292,Les Cayes,HT,2021-08-12 04:43:07,18.2,-73.75,79.21,82,38,3.0
293,Mayo,US,2021-08-12 04:43:08,38.8876,-76.5119,77.25,95,1,3.0
294,Wiwili,NI,2021-08-12 04:43:08,13.6268,-85.8254,71.83,95,100,2.1
295,Jijiga,ET,2021-08-12 04:43:09,9.35,42.8,64.98,72,47,21.03
