,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
121,Smithers,54.7804,-127.1743,84.52,32,20,9.22,CA,few clouds
122,Mishan,45.55,131.8833,64.13,73,100,4.45,CN,overcast clouds
123,Kupang,-10.1667,123.5833,90.18,51,20,20.71,ID,few clouds
124,Hithadhoo,-0.6,73.0833,80.24,77,100,9.22,MV,overcast clouds
125,Barrow,71.2906,-156.7887,37.42,75,90,10.36,US,overcast clouds
126,Berlevag,70.8578,29.0864,51.33,90,95,4.27,NO,overcast clouds
127,Oudtshoorn,-33.5907,22.2014,41.36,89,99,3.53,ZA,light rain
128,Raudeberg,61.9875,5.1352,57.87,80,92,17.07,NO,overcast clouds
129,Saint-Augustin,51.226,-58.6502,61.75,97,99,3.62,CA,overcast clouds
130,Dickinson,29.4608,-95.0513,86.22,77,20,1.01,US,few clouds
131,Oliver,49.1831,-119.5524,89.51,27,12,6.91,CA,few clouds
132,Upernavik,72.7868,-56.1549,42.96,87,100,10.58,GL,overcast clouds
133,Mokokchung,26.3333,94.5333,68.76,96,100,1.68,IN,overcast clouds
134,Poum,-20.2333,164.0167,71.31,64,42,10.63,NC,scattered clouds
135,Cabedelo,-6.9811,-34.8339,72.27,85,3,10.92,BR,clear sky
136,Saint-Pierre,-21.3393,55.4781,69.48,66,0,9.22,RE,clear sky
137,Coahuayana,18.7333,-103.6833,78.21,87,49,0.18,MX,scattered clouds
138,Kangaatsiaq,68.3065,-53.4641,46.13,73,100,11.45,GL,overcast clouds
139,Codrington,-38.2667,141.9667,57.74,65,7,17.27,AU,clear sky
140,Saint George,37.1041,-113.5841,91.99,27,20,4.0,US,few clouds
141,Januaria,-15.4833,-44.3667,69.82,37,6,6.44,BR,clear sky
142,Mar Del Plata,-38.0023,-57.5575,39.22,93,0,5.75,AR,mist
143,Ribeira Grande,38.5167,-28.7,73.47,86,47,26.42,PT,scattered clouds
144,Waddan,29.1614,16.139,81.79,48,0,5.28,LY,clear sky
145,Sidney,-33.8679,151.2073,68.38,45,0,1.01,AU,clear sky
146,Samana,19.2056,-69.3369,79.41,88,100,9.84,DO,overcast clouds
147,Pisco,-13.7,-76.2167,60.85,82,0,6.91,PE,clear sky
148,Bac Lieu,9.285,105.7244,84.16,73,100,9.82,VN,overcast clouds
149,Richards Bay,-28.783,32.0377,61.21,67,100,18.34,ZA,light rain
150,Bodden Town,19.2833,-81.25,84.2,86,20,4.61,KY,few clouds
151,Bonavista,48.6499,-53.1147,61.12,84,100,14.14,CA,overcast clouds
152,Koslan,63.4564,48.8989,58.51,84,96,6.53,RU,moderate rain
153,Vilhena,-12.7406,-60.1458,65.8,58,3,3.65,BR,clear sky
154,Longyearbyen,78.2186,15.6401,40.84,100,75,10.36,SJ,light intensity drizzle
155,Mindelo,16.8901,-24.9804,76.55,73,20,17.27,CV,few clouds
156,Jamestown,42.097,-79.2353,76.59,88,1,5.01,US,clear sky
157,Mount Isa,-20.7333,139.5,82.17,26,0,16.11,AU,clear sky
158,Rongcheng,30.634,117.8517,74.91,97,100,5.08,CN,light rain
159,Ponta Do Sol,32.6667,-17.1,72.23,80,7,3.51,PT,clear sky
160,Xichang,27.8964,102.2634,73.02,89,99,3.33,CN,light rain
161,Isangel,-19.55,169.2667,77.11,61,40,12.66,VU,haze
162,Cidreira,-30.1811,-50.2056,56.32,81,100,6.67,BR,overcast clouds
163,Faanui,-16.4833,-151.75,79.11,69,9,12.77,PF,clear sky
164,Shyroke,47.6917,33.2571,58.24,62,46,9.01,UA,scattered clouds
165,Akdepe,42.0551,59.3788,71.69,25,0,14.23,TM,clear sky
166,Port Lincoln,-34.7333,135.8667,60.19,65,14,11.61,AU,few clouds
167,Bonthe,7.5264,-12.505,76.51,89,100,9.33,SL,moderate rain
168,Claudio,-20.4433,-44.7658,60.89,70,4,5.37,BR,clear sky
169,Zhangjiakou,40.81,114.8794,77.99,55,3,4.54,CN,clear sky
170,Hun,29.1268,15.9477,81.54,49,0,8.05,LY,clear sky
171,Tura,25.5198,90.2201,75.9,95,100,7.36,IN,moderate rain
172,Sorland,67.667,12.6934,55.18,83,100,4.09,NO,overcast clouds
173,Muravlenko,63.7898,74.523,62.24,57,91,11.72,RU,overcast clouds
174,Cabo San Lucas,22.8909,-109.9124,84.51,77,90,8.05,MX,overcast clouds
175,Waingapu,-9.6567,120.2641,87.31,59,7,15.05,ID,clear sky
176,Basco,20.4487,121.9702,81.46,78,99,13.73,PH,overcast clouds
177,Muzaffarabad,34.37,73.4711,81.01,73,83,1.41,PK,broken clouds
178,East London,-33.0153,27.9116,55.78,64,94,10.92,ZA,light rain
179,Sao Filipe,14.8961,-24.4956,75.49,79,17,10.09,CV,few clouds
180,Baraboo,43.4711,-89.7443,76.89,73,1,4.61,US,clear sky
181,Isla Mujeres,21.2311,-86.731,82.9,75,5,11.63,MX,clear sky
182,Boa Vista,2.8197,-60.6733,78.78,89,75,9.22,BR,light intensity shower rain
183,Olean,42.0776,-78.4297,75.78,100,1,4.61,US,clear sky
184,Yar-Sale,66.8333,70.8333,60.19,69,100,10.71,RU,overcast clouds
185,Bani,18.2833,-70.3333,77.86,80,97,10.33,DO,overcast clouds
186,Marathon,44.9,-89.7668,66.88,83,1,9.22,US,clear sky
187,Svetlogorsk,52.6333,29.7333,53.4,97,0,6.51,BY,clear sky
188,Lasa,46.6166,10.7002,67.08,79,75,1.45,IT,broken clouds
189,Ilebo,-4.3167,20.5833,72.23,77,89,1.16,CD,overcast clouds
190,Cururupu,-1.8283,-44.8683,76.39,95,99,5.73,BR,overcast clouds
191,Tizimin,21.15,-88.15,75.85,91,24,7.18,MX,few clouds
192,Atbasar,51.8,68.3333,58.05,60,7,14.58,KZ,clear sky
193,Linguere,15.3953,-15.1193,81.0,66,28,10.07,SN,scattered clouds
194,Leningradskiy,69.3833,178.4167,53.1,54,100,4.59,RU,overcast clouds
195,Jurm,36.8648,70.8342,74.01,23,0,1.23,AF,clear sky
196,Kribi,2.95,9.9167,76.01,86,100,5.99,CM,light rain
197,Yellowknife,62.456,-114.3525,66.72,55,40,4.61,CA,scattered clouds
198,Cockburn Town,21.4612,-71.1419,82.87,78,100,20.87,TC,overcast clouds
199,Dudinka,69.4058,86.1778,56.39,58,99,12.48,RU,overcast clouds
200,Vardo,70.3705,31.1107,52.0,91,100,6.08,NO,overcast clouds
201,Nanortalik,60.1432,-45.2371,44.37,83,77,6.69,GL,broken clouds
202,Esperance,-33.8667,121.9,58.84,56,3,10.27,AU,clear sky
203,Hami,42.8,93.45,90.95,14,36,2.26,CN,scattered clouds
204,Duekoue,6.7472,-7.3496,70.52,99,100,4.16,CI,light rain
205,Rundu,-17.9333,19.7667,56.1,27,0,4.0,NA,clear sky
206,Luganville,-15.5333,167.1667,76.95,80,71,14.43,VU,broken clouds
207,Narsaq,60.9167,-46.05,46.62,77,78,2.44,GL,broken clouds
208,Lagoa,39.05,-27.9833,72.86,82,4,18.84,PT,clear sky
209,Lebanon,36.2081,-86.2911,82.27,82,75,3.44,US,broken clouds
210,Sabha,27.0377,14.4283,85.55,21,0,10.09,LY,clear sky
211,Awjilah,29.1081,21.2869,83.16,48,0,13.87,LY,clear sky
212,Riberalta,-10.9833,-66.1,71.73,52,4,3.42,BO,clear sky
213,Ust-Nera,64.5667,143.2,72.07,53,72,6.49,RU,broken clouds
214,Turkmenabat,39.0733,63.5786,76.98,36,0,6.91,TM,clear sky
215,Tautira,-17.7333,-149.15,82.42,78,22,14.92,PF,light rain
216,Fortuna,40.5982,-124.1573,62.92,86,1,5.75,US,clear sky
217,Manono,-7.3,27.4167,70.14,37,3,3.83,CD,clear sky
218,Flinders,-34.5833,150.8552,67.17,48,0,3.0,AU,clear sky
219,Half Moon Bay,37.4636,-122.4286,78.75,77,75,13.8,US,broken clouds
220,Ketchikan,55.3422,-131.6461,68.54,77,23,5.14,US,few clouds
221,Tilichiki,60.4667,166.1,63.57,62,20,8.81,RU,few clouds
222,Dikson,73.5069,80.5464,44.53,99,99,10.87,RU,overcast clouds
223,Atar,20.5169,-13.0499,91.53,15,72,10.96,MR,broken clouds
